,ele
532,225.609
533,225.636
534,225.658
535,225.678
536,225.653
537,225.633
538,225.614
539,225.594
540,225.577
541,225.563
542,225.513
543,225.493
544,225.482
545,225.467
546,225.43
547,225.411
548,225.393
549,225.391
550,225.401
551,225.411
552,225.427
553,225.434
554,225.468
555,225.505
556,225.526
557,225.534
558,225.557
