X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-98.759971013,29.388346227,"0","0","66",224.819,,,,,,,,,,,,,,,,,,,,,,
-98.759964932,29.388346246,"0","0","67",224.827,,,,,,,,,,,,,,,,,,,,,,
-98.759961281,29.388347318,"0","0","68",224.836,,,,,,,,,,,,,,,,,,,,,,
-98.759956415,29.388348394,"0","0","69",224.847,,,,,,,,,,,,,,,,,,,,,,
-98.759951547,29.388350531,"0","0","70",224.862,,,,,,,,,,,,,,,,,,,,,,
-98.759946683,29.388351606,"0","0","71",224.873,,,,,,,,,,,,,,,,,,,,,,
-98.759941827,29.388352672,"0","0","72",224.884,,,,,,,,,,,,,,,,,,,,,,
-98.759936964,29.388354805,"0","0","73",224.899,,,,,,,,,,,,,,,,,,,,,,
-98.759932103,29.388356938,"0","0","74",224.915,,,,,,,,,,,,,,,,,,,,,,
-98.759928449,29.388360139,"0","0","75",224.933,,,,,,,,,,,,,,,,,,,,,,
-98.75992359,29.38836227,"0","0","76",224.949,,,,,,,,,,,,,,,,,,,,,,
-98.759918739,29.388363334,"0","0","77",224.959,,,,,,,,,,,,,,,,,,,,,,
-98.759915089,29.388366532,"0","0","78",224.978,,,,,,,,,,,,,,,,,,,,,,
-98.75991023,29.388369728,"0","0","79",224.998,,,,,,,,,,,,,,,,,,,,,,
-98.759906587,29.388372915,"0","0","80",225.016,,,,,,,,,,,,,,,,,,,,,,
-98.759901734,29.388376103,"0","0","81",225.036,,,,,,,,,,,,,,,,,,,,,,
-98.759898093,29.388379288,"0","0","82",225.054,,,,,,,,,,,,,,,,,,,,,,
-98.759894455,29.388382471,"0","0","83",225.072,,,,,,,,,,,,,,,,,,,,,,
-98.759889607,29.388384598,"0","0","84",225.087,,,,,,,,,,,,,,,,,,,,,,
-98.759885963,29.388388858,"0","0","85",225.11,,,,,,,,,,,,,,,,,,,,,,
-98.759881119,29.388390986,"0","0","86",225.125,,,,,,,,,,,,,,,,,,,,,,
-98.759878695,29.388394168,"0","0","87",225.142,,,,,,,,,,,,,,,,,,,,,,
-98.759873853,29.388397347,"0","0","88",225.162,,,,,,,,,,,,,,,,,,,,,,
-98.759869014,29.388399465,"0","0","89",225.176,,,,,,,,,,,,,,,,,,,,,,
-98.759864175,29.388402642,"0","0","90",225.196,,,,,,,,,,,,,,,,,,,,,,
-98.759859338,29.388405818,"0","0","91",225.212,,,,,,,,,,,,,,,,,,,,,,
-98.759855712,29.388408993,"0","0","92",225.223,,,,,,,,,,,,,,,,,,,,,,
-98.759850878,29.388412167,"0","0","93",225.234,,,,,,,,,,,,,,,,,,,,,,
-98.759848462,29.388414283,"0","0","94",225.242,,,,,,,,,,,,,,,,,,,,,,
-98.759842422,29.388417454,"0","0","95",225.253,,,,,,,,,,,,,,,,,,,,,,
-98.7598388,29.388419568,"0","0","96",225.26,,,,,,,,,,,,,,,,,,,,,,
-98.759835179,29.388422739,"0","0","97",225.273,,,,,,,,,,,,,,,,,,,,,,
-98.759830352,29.388425908,"0","0","98",225.285,,,,,,,,,,,,,,,,,,,,,,
-98.759826733,29.388429073,"0","0","99",225.298,,,,,,,,,,,,,,,,,,,,,,
-98.759821905,29.388432233,"0","0","100",225.311,,,,,,,,,,,,,,,,,,,,,,
-98.759819492,29.388434339,"0","0","101",225.32,,,,,,,,,,,,,,,,,,,,,,
-98.759813456,29.388436444,"0","0","102",225.328,,,,,,,,,,,,,,,,,,,,,,
-98.759808629,29.38843855,"0","0","103",225.336,,,,,,,,,,,,,,,,,,,,,,
-98.759803803,29.388441708,"0","0","104",225.35,,,,,,,,,,,,,,,,,,,,,,
-98.759800183,29.388443813,"0","0","105",225.359,,,,,,,,,,,,,,,,,,,,,,
-98.759795357,29.388445918,"0","0","106",225.368,,,,,,,,,,,,,,,,,,,,,,
-98.759791724,29.388448011,"0","0","107",225.378,,,,,,,,,,,,,,,,,,,,,,
-98.759786869,29.388451147,"0","0","108",225.393,,,,,,,,,,,,,,,,,,,,,,
-98.759783225,29.388453238,"0","0","109",225.403,,,,,,,,,,,,,,,,,,,,,,
-98.759778363,29.388456378,"0","0","110",225.418,,,,,,,,,,,,,,,,,,,,,,
-98.759775934,29.388459531,"0","0","111",225.434,,,,,,,,,,,,,,,,,,,,,,
-98.759771067,29.388462675,"0","0","112",225.45,,,,,,,,,,,,,,,,,,,,,,
-98.759766196,29.388465822,"0","0","113",225.466,,,,,,,,,,,,,,,,,,,,,,
-98.759762543,29.388468975,"0","0","114",225.483,,,,,,,,,,,,,,,,,,,,,,
-98.759757663,29.388471071,"0","0","115",225.494,,,,,,,,,,,,,,,,,,,,,,
-98.759754004,29.388474228,"0","0","116",225.511,,,,,,,,,,,,,,,,,,,,,,
-98.759751567,29.388477389,"0","0","117",225.529,,,,,,,,,,,,,,,,,,,,,,
-98.759747908,29.388481605,"0","0","118",225.554,,,,,,,,,,,,,,,,,,,,,,
-98.759744244,29.388484766,"0","0","119",225.572,,,,,,,,,,,,,,,,,,,,,,
-98.759741803,29.388487931,"0","0","120",225.591,,,,,,,,,,,,,,,,,,,,,,
-98.75973814,29.388492152,"0","0","121",225.616,,,,,,,,,,,,,,,,,,,,,,
-98.759735697,29.38849532,"0","0","122",225.634,,,,,,,,,,,,,,,,,,,,,,
-98.759734483,29.388499545,"0","0","123",225.659,,,,,,,,,,,,,,,,,,,,,,
-98.759732038,29.38850377,"0","0","124",225.685,,,,,,,,,,,,,,,,,,,,,,
-98.75972959,29.388507997,"0","0","125",225.71,,,,,,,,,,,,,,,,,,,,,,
-98.759727141,29.388512226,"0","0","126",225.736,,,,,,,,,,,,,,,,,,,,,,
-98.759727144,29.388516453,"0","0","127",225.761,,,,,,,,,,,,,,,,,,,,,,
-98.759727148,29.388521736,"0","0","128",225.792,,,,,,,,,,,,,,,,,,,,,,
-98.759725925,29.388525965,"0","0","129",225.817,,,,,,,,,,,,,,,,,,,,,,
-98.75972593,29.388531248,"0","0","130",225.849,,,,,,,,,,,,,,,,,,,,,,
-98.759724749,29.388535467,"0","0","131",225.874,,,,,,,,,,,,,,,,,,,,,,
-98.759724786,29.388539682,"0","0","132",225.899,,,,,,,,,,,,,,,,,,,,,,
-98.759724822,29.388543895,"0","0","133",225.924,,,,,,,,,,,,,,,,,,,,,,
-98.759726073,29.388548105,"0","0","134",225.948,,,,,,,,,,,,,,,,,,,,,,
-98.759728539,29.38855231,"0","0","135",225.971,,,,,,,,,,,,,,,,,,,,,,
-98.759732209,29.388555459,"0","0","136",225.987,,,,,,,,,,,,,,,,,,,,,,
-98.759735885,29.388559658,"0","0","137",226.009,,,,,,,,,,,,,,,,,,,,,,
-98.759739543,29.388561753,"0","0","138",226.018,,,,,,,,,,,,,,,,,,,,,,
-98.759743206,29.388565951,"0","0","139",226.039,,,,,,,,,,,,,,,,,,,,,,
