ele,X,Y
226.171,-98.759781879,29.388596564
226.183,-98.759786715,29.388599736
226.184,-98.759790338,29.388600802
226.188,-98.75979638,29.388602931
226.198,-98.759802422,29.388606118
226.202,-98.759808468,29.38860825
226.206,-98.759813306,29.388610378
226.207,-98.759816936,29.388611446
226.207,-98.759821778,29.388612518
226.204,-98.759827832,29.388613594
226.203,-98.759832676,29.388614666
226.197,-98.759837523,29.38861468
226.189,-98.759843583,29.388614698
226.187,-98.759849644,29.388615775
226.179,-98.759855708,29.388615793
226.173,-98.75986056,29.388615807
226.163,-98.759866627,29.388614766
226.158,-98.759873909,29.388614787
226.149,-98.75987998,29.388613745
226.14,-98.759884834,29.388612688
226.133,-98.759888474,29.38861163
226.123,-98.759894542,29.388610572
226.11,-98.759899395,29.388608455
226.096,-98.759904248,29.388606338
226.082,-98.759909101,29.388604221
226.074,-98.759913954,29.388603164
226.061,-98.759917593,29.388601046
226.041,-98.759923661,29.388597876
226.027,-98.759928518,29.388595767
226.014,-98.759932163,29.388593657
225.995,-98.759937023,29.388590491
225.972,-98.759939457,29.388586268
225.953,-98.759944319,29.388583102
225.934,-98.759949181,29.388579934
225.92,-98.759952827,29.388577823
225.897,-98.759956478,29.388573598
225.878,-98.759960127,29.38857043
225.854,-98.759963779,29.388566204
225.836,-98.759966215,29.388563034
225.816,-98.75997108,29.388559864
225.796,-98.759975947,29.388556694
225.775,-98.759982028,29.388553523
225.756,-98.759985681,29.388550352
225.737,-98.759989334,29.38854718
225.717,-98.759994203,29.388544008
225.698,-98.759997852,29.388540834
225.683,-98.76000271,29.388538717
225.658,-98.760006358,29.388534483
225.637,-98.760011218,29.388531308
225.617,-98.760016078,29.388528133
225.597,-98.760019725,29.388524957
225.578,-98.760023371,29.388521782
225.558,-98.760027018,29.388518607
225.533,-98.760030666,29.388514373
225.507,-98.760034236,29.388510135
225.488,-98.760037807,29.388506958
225.464,-98.760040139,29.388502727
225.446,-98.760041281,29.388499556
225.405,-98.760044749,29.388492167
225.375,-98.760047152,29.388486889
225.352,-98.760048379,29.388482665
225.329,-98.760049607,29.38847844
225.311,-98.760050833,29.38847527
225.255,-98.760047206,29.388462597
225.231,-98.760047217,29.388457314
225.212,-98.760047227,29.388453088
225.188,-98.760047239,29.388447804
225.183,-98.760047241,29.388446747
225.126,-98.76004605,29.388434066
225.107,-98.760046055,29.388429839
225.089,-98.760044847,29.388425612
225.081,-98.760043647,29.388423494
225.04,-98.760037641,29.388412902
225.022,-98.760036447,29.388408666
225.004,-98.760035253,29.388404429
224.987,-98.760032841,29.388400193
224.949,-98.760024377,29.388389604
224.939,-98.760020742,29.388386429
224.924,-98.760017112,29.388382193
224.921,-98.760012255,29.38838008
224.899,-98.760006196,29.388373729
224.889,-98.760002558,29.388370555
224.891,-98.759997695,29.388369506
224.89,-98.759994048,29.388368454
224.913,-98.759975804,29.388368501
224.92,-98.759969725,29.388368517
224.931,-98.75996486,29.388369589
224.94,-98.759961211,29.388370659
224.978,-98.759949049,29.388375989
224.994,-98.759944187,29.38837812
225.009,-98.759939326,29.38838025
225.023,-98.75993568,29.388382377
225.03,-98.759933251,29.388383441
225.093,-98.75991986,29.3883941
225.113,-98.759914999,29.388397298
225.133,-98.759910141,29.388400493
225.146,-98.7599065,29.388402623
225.178,-98.759899223,29.388407935
225.209,-98.759891958,29.38841323
225.23,-98.75988591,29.388416406
225.244,-98.759882282,29.388418523
225.258,-98.759877448,29.388420638
225.298,-98.759866574,29.388426975
225.327,-98.759859329,29.388432243
225.334,-98.759855708,29.388434349
225.346,-98.75985088,29.388437508
225.354,-98.759847259,29.388439613
225.358,-98.759843638,29.388440666
225.378,-98.759830364,29.388445928
225.387,-98.759825537,29.388448032
225.4,-98.759820712,29.388451189
225.414,-98.759815887,29.388454346
225.429,-98.759811063,29.388457503
225.438,-98.759807445,29.388459607
225.495,-98.75978933,29.388471163
225.511,-98.759784476,29.388474307
225.528,-98.759779618,29.388477453
225.551,-98.759775973,29.388481657
225.563,-98.759773541,29.388483759
225.61,-98.759767458,29.388492177
225.634,-98.759765024,29.38849639
225.658,-98.759763807,29.388500604
225.682,-98.759761372,29.388504819
225.695,-98.759758934,29.388506927
225.773,-98.759755282,29.388520634
225.803,-98.759755285,29.388525904
225.827,-98.759755287,29.38853012
225.838,-98.759756508,29.388532225
225.928,-98.759763781,29.388549082
225.943,-98.759766195,29.388552247
225.957,-98.759771016,29.38855542
225.956,-98.759772226,29.38855542
225.999,-98.759784278,29.388564951
226.013,-98.759787894,29.388568131
226.024,-98.75979394,29.388571307
226.031,-98.75979878,29.388573424
226.035,-98.75979999,29.38857448
226.058,-98.759810884,29.388580827
226.063,-98.759816936,29.388582948
226.062,-98.75982299,29.388584015
226.066,-98.759829046,29.388586137
226.067,-98.759833891,29.388587202
226.067,-98.759838738,29.388588268
226.063,-98.759856921,29.388591472
226.064,-98.75986056,29.388592535
226.058,-98.759867835,29.388592531
226.054,-98.759872685,29.388592528
226.051,-98.759876323,29.388592526
226.037,-98.759888472,29.388591531
226.023,-98.759893328,29.388589422
226.016,-98.75989697,29.388588367
225.992,-98.759901828,29.388584145
225.973,-98.759906686,29.388580979
225.954,-98.759910331,29.388577811
225.935,-98.759915191,29.388574644
225.917,-98.759918837,29.388571476
225.898,-98.759923698,29.388568307
225.878,-98.75992856,29.388565138
225.855,-98.759932209,29.388560912
225.835,-98.759937072,29.388557742
225.816,-98.75994072,29.388554572
225.796,-98.759946799,29.388551401
225.783,-98.759949233,29.388549287
225.757,-98.759955315,29.388545059
225.738,-98.759958966,29.388541886
225.713,-98.759963835,29.388537656
225.693,-98.759968702,29.388534483
225.671,-98.759974786,29.38853131
225.652,-98.759978439,29.388528136
225.626,-98.759983304,29.388523902
225.607,-98.759986951,29.388520726
225.577,-98.7599906,29.388515433
225.562,-98.759995456,29.388513315
